M,S
0.0430667497335981,0.0407514167441472
0.0457288849440173,0.0514401287718714
0.05019057364549,0.0514130533296623
0.0489334069774927,0.0410551350431357
0.0525850312869712,0.0527096748467218
0.0505854564042518,0.0483760786229333
0.0501289887632011,0.0766257771925703
0.0500883783888038,0.068536551715116
0.0534782369020381,0.0514719276753544
0.0549016693969245,0.0706206341791173
0.0481925137876458,0.0576465242309282
0.0554458774106385,0.0630220661806773
0.0607136625954361,0.069308616412527
0.0563783626522286,0.0782970223523909
0.0542099854405539,0.0694390621204691
0.0571546422902793,0.0764247377676974
0.0577205016503404,0.0686051956964526
0.0597702707812649,0.0900493212565327
0.0560663753516014,0.0805920733967042
0.054964917712131,0.0652875923295891
0.0565781763209525,0.0698351358134704
0.0575879302248099,0.072989480481289
0.0536608979577996,0.0833624133560031
0.0551905399742823,0.0752507533994204
0.0550703412385374,0.0912423054811578
0.0594150538070819,0.082729575660804
0.0662745539919417,0.0908053381851304
0.0640316923307407,0.0896222870241349
0.0577334122773872,0.100004609704147
0.0674625331671173,0.127211534610293
0.0635344766187625,0.112744397578562
0.0617454718763032,0.108349470065973
0.0700391118472989,0.103199079211827
0.065335325175214,0.0961617527570921
0.0654441697868386,0.095204742471418
0.0663162217204306,0.0968041136992756
0.0734274643370968,0.110345955004052
0.0740305736996244,0.116033229417808
0.0741028389095709,0.112987606390334
0.0740166343209022,0.115418754577457
0.0751202249554022,0.136161885846506
0.0731668167110187,0.106536759002363
0.0629192620931823,0.0961638094052285
0.0644622462705648,0.105244112893055
0.0580988255231808,0.0795660265455656
0.0609999622831512,0.0900021781464167
0.0565527612046692,0.0851730545219641
0.0608043331484488,0.0847450516650702
0.0682804316456279,0.0865191089494201
0.0682118621432537,0.0997311812675591
0.0678261217542764,0.100071760634254
0.0699575796959465,0.0957394288844432
0.0676739051609315,0.0938459882260694
0.0661411494544135,0.0940828476565505
0.0586641172912302,0.0939920593950235
0.0641956203877427,0.112938901711976
0.0636099188925659,0.0914334124940019
0.064387673634925,0.0896274201749016
0.0613381052043718,0.0722710224289988
0.061101994135553,0.0794991665157247
0.070871985348656,0.0874418932035059
0.0602730755485394,0.0763985407204952
0.0646357400953775,0.0825565898856929
0.0517776787647929,0.0679353626095079
0.0571222197380483,0.0695709927429893
0.0572236590812553,0.0728825652305625
0.0542705049838416,0.068378526183909
0.0530014230146095,0.0635418239834375
0.0549858719691564,0.0653055621550316
0.0506120666283799,0.0539257447468321
0.0525653327794706,0.0621671224728833
0.0525335913365078,0.066436339429679
0.0529150041594988,0.0648176753662248
