M,S
1042.44811228892,1703.75200737146
1063.24199648709,1938.85179098917
1080.66240275589,2325.36259888607
1073.1463410468,3394.73316551398
1020.87735822294,5130.69638804757
1068.2833422865,3566.47344268085
1157.39689272786,4909.57876278016
1185.1821732242,3506.3821142774
1244.72474428155,2509.76407497496
1237.94146401048,626.429037655162
1271.32462235911,1337.6480093477
1313.05040555645,2006.04030168539
1412.66491227567,3278.73723649837
1329.42018168554,2900.15547002558
1344.07780570262,2769.98006326654
1340.92040735141,3008.77192108265
1257.7890578563,2364.76374163238
1181.53931702129,1261.49081902236
1229.28883986422,3642.51629859947
1205.65877376287,3489.94725675298
1162.26889133922,2951.32336530099
1158.52057566444,5223.66916095014
1060.0962437653,4797.10099818267
1057.1070514933,4356.94479603736
1060.84384835592,5077.78623068505
1062.42150180696,2808.76765521526
1037.57256376291,5571.86947171699
1076.47084941074,1427.31032749941
1022.59546303289,2258.72359896306
1019.65393912504,5260.55664819542
1023.41775649352,5720.36989876899
1089.38380414873,1713.300836546
1036.76829969795,5385.68222467803
973.046242517953,1268.96426767018
1028.74007985442,3108.05969657722
991.21036723912,5266.0561110893
995.196966655634,5625.33530460145
989.266816561109,5411.21648471224
990.421994645243,3717.31998763077
