M,S
2094.49030461629,1415.94906764469
2019.41165070388,1342.77897348919
1688.67583848074,1224.58322803054
1839.82814818914,1189.90803843284
2288.83718752812,1626.26159020127
1978.36882839676,1378.62309744041
1766.64185468898,983.900364445261
1269.86232590491,1061.38506190981
2091.50725036101,1081.6053940505
1755.87123457405,1195.91236991785
1480.85276163756,881.534763608682
1450.86786244835,1006.15859585865
1621.67130683884,1146.02649819082
1983.87478003141,1019.39042144971
1348.84512797122,1034.65308481839
1805.99288729927,962.607991711429
1100.47954800987,1030.35384357178
1243.42152110375,1386.27519922614
1066.07378416023,1274.50740762802
2087.28236791058,1176.09119534892
2537.14411565083,1567.59021510729
2431.63577856704,1418.86114485343
1826.80067340567,1028.15191569039
1668.295064379,1373.61451844677
1557.32961923312,1297.94149088284
1314.7424064049,1457.90957671295
1953.37182860404,1809.20674099855
1565.99220120956,1646.38950912307
1529.5724871919,1290.619898994
1223.51958109023,1198.28300347066
1871.48560799694,1108.75882193276
1287.83812327572,1060.14021552198
1197.80605434579,1173.7127539642
1016.23229593215,1236.99740460993
1888.34357039135,1262.51346692559
1529.12517070437,1557.60464144158
1375.66447288661,1351.5502247033
1281.59639155454,1347.87086103991
976.026818887261,1249.81899214136
