M,S
859.057077085097,890.267894217677
938.825981402642,739.000608764126
710.653688502013,488.128806222514
646.560361883278,518.711684786486
530.239105525838,436.089558469351
525.074702671091,522.389116842966
737.272176782443,733.105249501372
489.522775933105,657.610011259426
723.212118636106,855.3724658384
542.33436127744,593.4266107237
575.413048821726,684.93034070569
434.189299426533,705.57868478239
720.13241433668,1174.35680020145
852.252333326855,684.355887734062
1285.01144783457,1030.76016779594
686.273514023572,1046.97918035218
1856.11823823393,859.222315784355
713.18706828542,819.833413993734
516.946733476166,556.919839135254
968.388623297011,1399.74229037348
731.765025192807,633.715561915834
577.609583642969,1065.85758355865
1015.70176944481,757.678112527473
688.493996041808,1017.61352964072
566.099189060052,666.533558732765
582.723598072751,712.078421947378
612.085688068342,1207.96523458166
521.403944948226,985.665316080051
688.447334778043,1034.77158092139
766.737541159193,539.052904767375
811.65616638532,1084.97784381337
841.861718550034,608.315530161602
581.716004228385,897.5214319628
467.266453286794,689.791368403094
778.560361441989,1149.33919643665
559.042967278761,808.351582544427
378.03856662495,1041.66170431542
542.346010131251,949.368843989113
494.712931177285,707.227813142647
