M,S
2317.97763985066,3975.71637222344
1545.50072180203,2312.94734864394
1467.15979129742,2634.11306161291
2246.64280742865,3761.36214113459
1867.25978846533,2650.72013459575
1982.63884802006,2578.42736683654
2408.9340421755,3278.65936705588
2448.57502981544,3197.95830563685
2144.24241062337,3345.18276083605
2347.81150438071,3542.64166123642
1970.61156368233,3267.72081966485
2684.50542357571,3480.84716044915
2604.6867415927,3495.063355376
1952.22014015204,3650.45482839874
1550.55327914416,3081.26168460669
1515.8166271611,2676.81543242065
2183.21436960493,3555.00512093492
1419.1086245676,2699.70331292562
1199.22298253219,2678.49459930312
1970.35777521244,3797.36409932189
1130.39793472055,2762.66207523983
989.170368679292,2488.43721763491
2166.76233919349,3699.44540874388
1221.3024738437,2776.46079332533
889.908026488144,2234.04211545229
2576.753506786,4021.95727179392
1538.85552545811,2356.13554652628
1724.52388153778,2263.54679645173
2667.88963203381,3560.48859559331
1398.96129656903,2324.81311945626
1822.00962775924,2866.17073180611
2738.06774110427,3586.320210063
1449.87146370337,2688.83743535294
1408.9773796527,2758.92356471966
2812.84156264894,3318.39395687089
1755.34696304163,3582.4275297849
1832.71863861631,3269.97001201705
2299.16173097081,3707.08046245623
2512.21548573704,3552.30119377948
