M,S
2050.1703956071,1794.43696448252
2096.15184093383,2111.34154540343
3205.7508548626,2990.80660023024
1703.93243190286,1650.45182623301
1762.55826843715,1795.23730664463
1462.55125406665,1535.41925829811
1455.87923443867,1622.65383937081
1832.24639985459,1731.05664329846
1835.57846835318,1834.54827655644
1588.47053679357,1604.64154311387
2034.14258087654,1882.70393875709
1890.5458284684,1702.5459955519
1751.42919543336,1981.10024694271
1702.93170711924,1633.30639691733
1777.5780247553,1761.88220886924
2059.02316452957,1852.09247548462
1691.19243321874,1736.54515730163
2275.86413843009,2083.65383926497
1934.85760472133,1835.42914167072
2269.28645465959,2334.61795771286
1764.33966121784,1748.48850262357
1508.82242058973,1764.14373469161
1811.41647657729,1800.47472397476
1338.95955294917,1572.58246024357
1560.66375938341,1710.74098617978
1738.62922536203,1604.958188072
3042.37758835662,3065.40245582891
1378.12353354735,1536.50708132067
1812.84195234883,1924.25942896207
2878.61666587467,3003.28014739469
1422.906896191,1630.58918324329
1775.04052355444,1732.55526199734
1638.27664363055,1613.21458930794
3098.63489222332,2770.68927842884
1270.14984523969,1657.92321828417
1639.49679849535,1873.4369107757
1766.16517016687,1857.57768028934
1674.99362947645,1894.94742434702
1677.43033807946,1739.15577173538
