M,S
2005.86464894258,1988.42438095015
3510.79184552436,637.863782832899
1028.61504019565,775.174633799045
1110.87292861094,2402.50284110511
1068.36455548131,2104.66967754565
1064.55712835375,988.720065529426
924.942629745926,982.718000866932
931.105841480554,1551.34654644555
931.466261907603,660.649353008818
1154.49126684407,879.600271239794
1150.82292702619,6509.0508793556
1286.6973445575,699.302700709649
1355.87236221651,616.541718718582
1168.4044002618,1544.05862228507
1134.30458397468,1636.3287663107
1073.81725431416,2024.78561019068
979.819496338581,1447.75564801471
952.257257545059,186.310361983449
842.792453759857,1083.02420865617
1154.06536986521,2322.83037047859
1380.16359852021,2113.32985732489
1369.96077792769,525.794884824762
1448.52955959714,1175.01316138388
1449.97244037702,1219.60269683174
1401.70699782203,1395.00370327666
1364.00175860374,6399.02445867236
1255.97027241548,5004.61993636558
1391.88198367827,1378.4164951927
1415.37701108475,1078.12497622488
1000.64061255264,1523.99960619193
705.421526046491,1572.22137314135
524.361451542326,1238.47771993816
716.343959557166,1273.98004131495
690.637002331958,571.521993312741
635.346120287125,754.60850267411
618.236396149166,218.060760222598
949.94927604277,155.399198117423
1307.54678515673,1168.78149162052
1219.53131938277,464.43031371205
