M,S
0.472531926975834,0.311555328236366
0.374587611683758,0.443477378943931
0.214997211049764,0.532779814438231
0.609745622089111,0.519844248493375
0.610052688790232,0.572199605369654
0.586604331501618,0.700653956351437
0.475012199607639,0.523302873052577
0.516167275164193,0.579189315270233
0.381801339133231,0.630239439195259
0.491928316594153,0.462006822439139
0.381824126134152,0.439907748731218
0.392923940816269,0.583830823048759
0.597997392512244,0.682758417240031
0.240835586705637,0.459225388417279
0.322261337296255,0.457777827192357
0.449191117637771,0.53302663621191
0.427024721779575,0.424447627580504
0.782137640309365,0.45706848397795
0.876398686990573,0.526254044302315
0.71761402621817,0.700144316210942
0.447205483735839,0.53926906501796
0.390423754848495,0.56447805880035
0.390154975879455,0.54653225953564
0.469690803320716,0.573738797873468
0.328711091137598,0.414016376843926
0.485309285257943,0.473658385429358
0.338751863091469,0.47215868492554
0.230877905472554,0.369333934020563
0.52839918952554,0.391467119044131
0.280863363621529,0.384060092558234
0.454876197302878,0.476911326378569
0.677583940090825,0.54480056483296
0.788934646162723,0.817262722847248
0.774281077756453,0.816441279277287
0.781531330110828,0.737708666878522
0.789131704721214,0.752947834613578
0.50607134433541,0.718174206899961
0.322129862875399,0.423859933440952
0.507408300791797,0.634842064920491
