M,S
346.66485236316,195.803323387761
925.871367775709,360.970872914365
251.748659709905,314.41449936574
550.296904578656,406.870766340778
1320.53668123882,521.47585646645
692.61943714562,227.181873382948
401.292520773965,445.199426241796
1109.07149784085,768.39131001849
269.50834956446,388.890765044234
622.467531672239,527.427019955818
827.481673483385,546.639087543409
793.60145090822,905.332429555054
666.99292394178,982.716900460307
427.348284821561,623.182450562943
890.890428757751,1671.44542946974
413.003210054327,1527.82835787143
1779.89472777253,2017.11762806923
2118.53641797673,827.761174099139
1065.16360210316,1374.16785992035
718.044354646273,918.001377679353
724.497502242048,755.149328107129
1039.09062008566,766.579141800348
549.104299001451,552.407786454857
656.910390934995,744.636685325855
679.236637413957,557.687193016508
1902.11624743537,583.369443061981
671.45163422102,1274.33674101972
885.579872783191,809.126835596823
264.367696561744,617.782737207752
658.50153838984,581.497900272551
797.245191232523,638.583922776197
667.773509725052,838.016899515551
797.908572424248,545.230448377521
1040.80058041885,1185.78500360581
447.888636931499,933.351180646268
961.1979715702,359.676166998817
463.378356030103,826.11744832255
895.129285072362,732.579765127216
1913.95495932261,433.862334040863
