M,S
736.964896981224,679.807907656314
273.277981589329,278.660588976777
618.830873915544,710.391810541155
1468.57900504273,1554.43240628649
500.288592218521,571.827022055489
1375.74320512527,1387.05418891336
521.31047400797,462.820309513632
1276.53075371325,1204.19116969002
1429.38857281229,1263.33924079927
841.040095862502,867.56172861953
536.697595883537,577.87324345868
706.410688670514,711.537573958192
419.719266215172,481.487019193301
530.053871756989,524.286242591416
806.983129286733,756.694786703931
657.951829225904,525.901791071432
586.488728825378,624.935147491712
412.618704872468,473.085046502826
340.953965434702,438.09471954331
293.72853118395,255.790781286738
395.115459474094,404.172248474694
408.628128053459,352.83024035074
193.59482896553,340.341902243297
174.469523840334,143.930796079074
269.190972985029,299.309902838673
125.747158188268,229.131917040982
228.335536365083,264.765243707183
875.551339104708,837.497754708215
853.793087204601,735.660074508653
599.105496598154,601.159950474751
510.29969986925,334.165043945887
776.510246875443,796.54732851307
415.075970153742,433.622380977743
221.317649165407,211.92374573127
906.241400152664,865.392255341732
408.955424654359,456.267266375445
414.731888101147,466.358184041864
467.773230007964,553.143627348301
1383.25205755086,1528.87318933163
