M,S
712.683547893315,1051.52007154118
2157.58956093261,1746.93793257571
1234.47903240749,1009.51506541689
1239.29317864598,1026.27548938439
1313.75970252984,953.134966130016
1889.56904223442,1123.53033446334
1371.76112322107,485.716887658692
540.169785117837,1117.43231077937
571.811140232338,1873.26358312576
1284.51147785604,1537.92326080634
443.878249602422,328.200465206637
1223.15209236718,853.451935410568
950.093706272314,1343.14479155118
597.544532551425,2035.99560065031
1338.20138056075,1321.52768583014
1109.39989673888,837.555850252513
1375.22669116248,957.604786633882
1194.61775797511,570.166713902243
1859.06017250754,1111.34562531211
1054.63505061218,495.593220497193
424.46985675877,777.040592195986
623.625748708022,1084.19643786446
1381.19074000068,1345.64012687308
974.672491652038,886.879882774065
952.055543142279,563.350922715335
1400.76567884868,1028.94170787895
526.475985110389,1357.03354435242
1451.53312306314,1464.38693285435
1259.37932544122,1063.06551117763
1200.39333145933,974.976604334346
1218.69676915595,588.30556439141
1461.29253352694,1038.74987666529
1150.94051548555,891.945434559783
504.021675869824,1213.00191660543
663.959076573078,1709.97927106713
1281.23877732111,1652.10893555999
541.548675030496,282.43541260034
1515.33390104605,798.894191790026
865.966489114129,1263.30597357544
