M,S,M_dB,S_dB
3.09432357934235,0.693958162722227,9.81131453487463,-3.17333422913258
3.04739709495351,0.609231074897351,9.67858098409609,-4.30435905641608
3.58821484995388,0.458657437926062,11.0975687841851,-6.77023118521628
6.53551890789668,0.529651046599225,16.305601508995,-5.52020330414594
15.030124804843,1.00875134407385,23.5392517365946,0.075682527806318
48.2991979388055,2.70533517964418,33.6787983774969,8.64442160069645
58.9738820395997,3.19500881399428,35.4131943354054,10.0894412114771
33.7017772667745,2.00884810075942,30.55305608081,6.05894197542238
51.9405047679564,2.94055161290389,34.3101233174455,9.36857613184418
56.7779911365254,3.20309946595718,35.0836004535623,10.1114085006922
49.8941421135946,2.78558955404445,33.9609911941996,8.89834250345651
41.6296383466632,2.32387918416568,32.3880527602622,7.32427091658559
42.1202844793189,2.4637494541543,32.4898259147425,7.83193082138429
49.4667895710195,2.88432003653017,33.8862745053089,9.20086893778408
24.3467494136979,1.60419647591928,27.72881971682,4.10515115903778
25.0457087128666,1.5758640249484,27.9746665066815,3.95037482446354
51.1112077280857,2.8469191676502,34.1703228640456,9.08750272866556
42.3229594642504,2.39035252408938,32.5315205690375,7.5692390898985
36.3574885270999,2.04627746982425,31.2118775149299,6.21929045109283
25.7520169219735,1.53669723511058,28.2162249811601,3.73176619744918
13.4708776645143,0.926754316561934,22.5879178423562,-0.660707649433574
12.9894944580569,0.851915767584286,22.2718449793533,-1.39206687184376
10.849688395175,0.807724105651049,20.7083453071023,-1.85473911753712
19.4779248917111,1.23616915943444,25.7908537365981,1.84155808790667
51.1594600718679,2.94428969541492,34.1785190472325,9.37961077995601
50.7671335156354,2.95500826712752,34.1116528471794,9.41117400460159
19.7527620614626,1.32379720281727,25.912556646521,2.43642918178329
9.80386994654461,0.686851381622594,19.8279508295024,-3.26274447638177
8.01148715144399,0.48690640695334,18.0742628103673,-6.25109021513368
5.86468169413972,0.37537347422501,15.3648889147767,-8.51072840119422
8.01897040324266,0.497510117411826,18.0823722113319,-6.06396165951289
11.5890365865031,0.702988599700517,21.2809466786226,-3.06103435671029
25.7147709477614,1.2947403561124,28.2036532046286,2.24365369709628
22.9832191583718,1.14271913610792,27.2282171665949,1.15879000375093
5.88242274143095,0.472449014279447,15.3911246389652,-6.51290105576538
4.4101225320418,0.374909411571981,12.8890131238254,-8.52147314182385
7.57651098852272,0.398264914132189,17.5893851488695,-7.99655903726437
8.74819575094968,0.422321575043201,18.8383698462652,-7.48713462616131
8.84578239288276,0.437604231262562,18.9347250295601,-7.17836974788474
8.46420457753558,0.455408160398185,18.5517230319628,-6.83198383172322
12.0264199701715,0.583321956166497,21.6027273122309,-4.68183352943175
14.2094946014538,0.634315411319127,23.051572627229,-3.95389473722343
7.61662951636291,0.409867381598911,17.6352566281803,-7.74713285373687
7.9743876986948,0.324346574862912,18.0339469272817,-9.7798136781831
5.82107166188833,0.269163697848426,15.3000589163662,-11.3996702773142
4.55151153398472,0.207481191525347,13.1631129522838,-13.660425332
4.82956340549811,0.226988395085568,13.6781574425533,-12.8799269159731
3.83436012484524,0.255325973768879,11.6738579918542,-11.8581000618688
8.52923472465253,0.40072052583877,18.6182013272891,-7.94316822845077
11.3893689997312,0.477516977062537,21.1299932743372,-6.42022366847334
8.36646056659281,0.410441315857647,18.4508353689472,-7.73497857459834
11.5314781331755,0.539896419131487,21.2376995959145,-5.35379105963583
11.0536604182538,0.516898580955785,20.8701223680346,-5.73189320202897
4.06783234143735,0.248557970989183,12.1872608973588,-12.0914460988111
4.81562225822761,0.176759883720811,13.6530482626643,-15.0523258560924
4.9828344186857,0.144046163886928,13.9495291130944,-16.8299660597051
3.6637441435086,0.103660818742892,11.2785027445549,-19.68770730601
4.2128728818379,0.0821180663259481,12.4915671006512,-21.7112257144892
2.60671184830784,0.0665803257481857,8.32186051898316,-23.5330816872538
2.41201287796836,0.0630481001172826,7.64759244428487,-24.0065599172699
4.35219117692577,0.0927563928292275,12.7741592837122,-20.6531229766237
5.80096510163184,0.121833275049191,15.2700050555532,-18.2846816237803
4.19790490518379,0.123599772947374,12.4606519263678,-18.1596465408977
2.97170310747755,0.171193875767382,9.4601083680903,-15.3302355137387
9.69638429402689,0.36795185632204,19.7321963886471,-8.68418003421864
14.6229653000331,0.493598918039399,23.3007089884955,-6.13251601880074
8.22315898005902,0.321308021109377,18.3007737329345,-9.86156865236463
4.61471403251456,0.179745759867364,13.2828958712736,-14.9068269132466
3.64365806070379,0.133463165661584,11.2307522764617,-17.492771563472
2.76849298092757,0.120377139785684,8.84486853529901,-18.3891195983691
2.49978443956411,0.132574678485224,7.95805120748821,-17.5507883488325
3.07003024941082,0.22046796318752,9.7428530931755,-13.1330902029911
11.1346301455673,0.543155886575285,20.933515916567,-5.3015101867343
21.4352984354429,0.903151706618133,26.6225906880866,-0.884785861652839
17.9293554402342,0.78297308327914,25.0712935393962,-2.12506335358625
13.4721753294032,0.653852064226792,22.5887545236353,-3.6904100169256
11.8522350687346,0.538031586017875,21.4760051275776,-5.38384455244908
6.46229723875636,0.263816065596254,16.2077385975659,-11.5739752154176
3.90169095524318,0.134252976341078,11.825057337316,-17.4415215473275
3.00123865610589,0.0915811822071874,9.54601063098148,-20.763875090649
3.22188976497082,0.0869515540731762,10.1622135442346,-21.2144530301263
5.66594813935442,0.106512788102881,15.0654519017636,-19.4519649395091
7.0196699764968,0.13681661267004,16.9263338928654,-17.2772233223634
3.87812018919022,0.106362846163527,11.7724252887333,-19.4642009979685
1.48559234589044,0.0626464452064633,3.43799306307137,-24.0620713492682
